"createdAt","text"
"Mon Mar 17 18:03:51 +0000 2025","I used to watch the 5min chart all day and use it to find patterns and trade off of around 2pm. I’ve grown a lot and rarely look at it past 10am. This has saved me a ton of money and made me a more consistent trader. 

#tsla #meta #nvda #aapl #googl #amd #spy #qqq #mu #cvs #baba"
"Mon Mar 17 17:42:40 +0000 2025","من معه سهم #AAPL - #AMZN  يتواصل معي الان للضرورة

.
#السوق_الامريكي، #الداوجونز، #الفيدرالي_الامريكي، #الاسهم_الامريكية، #الاوبشن
$TSLA $LCID $BABA $HOLO $SVMH $RGTI $SXTC $GXAI $LICN $NUKK $SATL $SGMO $AMD $DJT $AAPL $GOOGL $META  $SKK $PHUN"
"Mon Mar 17 17:33:14 +0000 2025","🇺🇸 Big tech rojas,con Tesla haciendo de las suyas.....
$SPY $QQQ $DIA
#QQQ #TECH #Cedears #acciones #inversiones #mercado #inversor #invertir #bolsa
#NVDA #AAPL #GOOG #META #NFLX #TSLA #AMZN
#SPY #SPX #Wallstreet #eeuu #USA #VOO #tendencia #recomendado
$NVDA $AAPL $GOOG $META $NFLX $TSLA $AMZN"
"Mon Mar 17 17:32:25 +0000 2025","🇺🇸Lunes levemente verde en Wall Street,sigue el rebotesito ↕️
$SPY $QQQ $DIA
#QQQ #TECH #Cedears #acciones #inversiones #mercado #inversor #invertir #bolsa
#NVDA #AAPL #GOOG #META #NFLX #TSLA #AMZN
#SPY #SPX #Wallstreet #eeuu #USA #VOO #tendencia #recomendado
$NVDA $AAPL $GOOG $META $NFLX $TSLA $AMZN"
"Mon Mar 17 17:13:26 +0000 2025","Crypto Daily : 

#BTCUSD  Bitcoin now at $83,701.52

#ETHUSDT  Ethereum steadily at $1,98

#TSLA Tesla at $234.28

#AMZN Amazon now trading at $195.66

#AAPL  Apple now at $211.38"
"Mon Mar 17 17:08:36 +0000 2025","Legendary trader declares it's time to grab those popcorn buckets! 📈 With Apple set to rally and smart money loading up, it looks like the AAPL train is leaving the station. 

#AAPL #Apple"
"Mon Mar 17 16:56:48 +0000 2025","من معه سهم #AAPL - #AMZN  يتواصل معي الان للضرورة

.
#السوق_الامريكي، #الداوجونز، #الفيدرالي_الامريكي، #الاسهم_الامريكية، #الاوبشن
$TSLA $LCID $BABA $HOLO $SVMH $RGTI $SXTC $GXAI $LICN $NUKK $SATL $SGMO $AMD $DJT $AAPL $GOOGL $META  $SKK $PHUN"
"Mon Mar 17 16:45:47 +0000 2025","Business Inventories Surge Signals Economic Resilience in the United States - https://t.co/iRBLZhGpN8 #NYSE #AAPL #DIS #DJIA #ETH #USDT https://t.co/ugytZiPgvl"
"Mon Mar 17 16:40:57 +0000 2025","Liquidation of #Mag7 with slowly rising average #volatility.
#NVDA #AMZN #GOOGL #META #NFLX #TSLA #MSFT #AAPL https://t.co/YboQRlWh8y"
"Mon Mar 17 16:11:39 +0000 2025","turned my head to tweet about #aapl and it went up $1.3- fast AF - back too $220"
"Mon Mar 17 15:52:49 +0000 2025","#aapl has ris - at $220 all sell volume is $234.50 - $238
#mu is up $tsla down #nvda down #brk is up"
"Mon Mar 17 15:46:01 +0000 2025","I just noticed apple is under performing the #Dow #aapl
Locking in"
"Mon Mar 17 15:33:35 +0000 2025","Donnie will lose again!

#Trump #ElonMusk #Tesla #SpaceX #Dogecoin $TSLA #DonaldTrump #Alberta #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas #oil #gas #Canada #tariffs"
"Mon Mar 17 15:33:17 +0000 2025","Cashed out my puts on apple thanks so much #aapl"
"Mon Mar 17 15:32:46 +0000 2025","Markets are stupid believing #Russia #NaturalGas will return to #EU.

#Trump #ElonMusk #Tesla #Dogecoin $TSLA #DonaldTrump #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #ongt #oil #gas #Canada #tariffs"
"Mon Mar 17 15:28:21 +0000 2025","Don't waste your time voting for Donnie's POS in #Canada!🚫💩

#Trump #ElonMusk #Dogecoin $TSLA #DonaldTrump #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas #oil #gas #tariffs"
"Mon Mar 17 15:22:15 +0000 2025","Proves that stock research outside X is KEY!💯

#Trump #ElonMusk #Tesla #Dogecoin $TSLA #DonaldTrump #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas #oil #gas #Canada #tariffs"
"Mon Mar 17 15:19:47 +0000 2025","Discuss how they will destroy #Ukraine and #Canada. 

#Trump #ElonMusk #Tesla #Dogecoin $TSLA #DonaldTrump #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas #oil #gas #tariffs"
"Mon Mar 17 15:06:35 +0000 2025","Sell, Sell, Sell!!!⬇️⬇️⬇️

#Trump #ElonMusk #Tesla #SpaceX #Dogecoin $TSLA #DonaldTrump #Alberta #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas #oil #gas #Canada #tariffs https://t.co/IRdPvu2OWk"
"Mon Mar 17 15:02:48 +0000 2025","#Oil industry says Donnie is an idiot!

#Trump #ElonMusk #Tesla #SpaceX #Dogecoin $TSLA #DonaldTrump #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas #oil #gas #Canada #tariffs"
"Mon Mar 17 14:35:30 +0000 2025","Apple AAPL Given the current market signals, it would be prudent to monitor AAPL for a potential delayed breakout, driven by strong accumulation and moderate market instability #stockmarket #apple #aapl https://t.co/dIW0X8ZF3j"
"Mon Mar 17 14:20:46 +0000 2025","$AAPL #AAPL #Fibonacci
Time Frame 1D https://t.co/rlBdRM7O43"
"Mon Mar 17 13:51:25 +0000 2025","Apple faces significant delays in Siri updates, impacting AI strategy and investor sentiment. What’s next? #AAPL #TechNews

Read more: https://t.co/vehXG7t6We https://t.co/Rp49cOJld2"
"Mon Mar 17 13:44:16 +0000 2025","Final Target Hit 🎯🎯 

Join now for more Live Trades 
Link in bio 👆 👆 

#TQQQ #NVDA #NFLX #AAPL #Stocks https://t.co/Cdn29EHxBn"
"Mon Mar 17 13:43:36 +0000 2025","Final Target Hit 🎯🎯 

Join now for more Live Trades 👇 
https://t.co/3AIe97SFgZ

#TQQQ #NVDA #NFLX #AAPL #Stocks https://t.co/QjlIolnrVR"
"Mon Mar 17 13:41:46 +0000 2025","TP HIT IN $TQQQ , IF YOU WANT LIVE RECCOMENDATION ON US STOCKS LIKE #AAPL #NVDA #TESLA , 
JOIN MY CHANNEL LINK IN BIO. https://t.co/EVMnmDM9rp"
"Mon Mar 17 13:40:11 +0000 2025","#STOCKS BUY ALERT

 BUY #AAPL AT 213.8

TP: 215.5
SL: ??? (DM FOR SL)

#Trump  #ElonMusk  #Tesla
#GOLD

JOIN NOW FOR FREE SIGNALS 
https://t.co/3K3hDKkE7f
OR 
https://t.co/Nt47OqQNwE"
"Mon Mar 17 13:38:56 +0000 2025","STOCKS: BUY AAPL AT 213.8
TP: 215.5
SL:  Join  https://t.co/oV0CYoWT01

#AAPL #StocksToBuy"
"Mon Mar 17 13:37:29 +0000 2025","BUY #AAPL AT 213.8
TP: 215.5
SL: 211.5

https://t.co/GNRLlpODjK"
"Mon Mar 17 13:34:32 +0000 2025","What’s for breakfast?
#TSLA #COST #NVDA #AAPL https://t.co/RIfEaPm8Cf"
"Mon Mar 17 13:31:09 +0000 2025","2025-03-17 06:31:09 (Mon)
Roll Hist Days = 65, Pred/Open^2 Threshold = 1.2, Multiplier = 1.5
Stk (Pred/Open^2): Buy Value
#AAPL (1.14): 5
#AMD (0.94): 5
#AMZN (1.13): 5
#ASML (1.03): 5
#GOOG (1.1): 5
#INTC (0.88): 5"
"Mon Mar 17 13:13:25 +0000 2025","#stockmarket A beautiful, and a subtle note from  #MS to their wealthy clients to run to the hills until dust settles ( leave the keys to the kingdom to #maga ).  

 #SPY #qqq #mag7 #tsla #aapl #amzn #goog #nflx #msft @realDonaldTrump https://t.co/ufAnVVJgDP"
"Mon Mar 17 12:55:41 +0000 2025","Futures pointing to mixed open.

""Wall Street is coming off another brutal week for equities. The Nasdaq Composite sank deeper into correction territory last week, while the small-cap Russell 2000 neared a bear market, or 20% off from its high."" - CNBC
$SPY $QQQ $BTC $TSLA #AAPL https://t.co/LGlLigRuHt"
"Mon Mar 17 12:30:38 +0000 2025","Pre-Market Live: The SPY JUST BOTTOMED?! #SPY #NVDA #BABA #PLTR #TSLA #AAPL https://t.co/vcCPYnolCD via @YouTube https://t.co/4FJmsLVMb3"
"Mon Mar 17 11:20:16 +0000 2025","NASDAQ 100 geçen haftanın kazandıranları ve kaybettirenleri👇🏻

🟢 #INTC #MU #APP #NVDA #FANG #CRWD #AXON #MSTR #XEL #VRTX

🔴 #TTD #ADBE #AAPL #MCHP #PCAR #LULU #ODFL #DXCM #ROST #ABNB

#BurganYatırım #BurganTrade #YatırımdaDoğruAdım #NASDAQ100 https://t.co/4ozzt6zxz0"
"Mon Mar 17 11:20:00 +0000 2025","#AAPL: 213.49 is BELOW the 50-day SMA (234.7961)
#MSFT: 388.56 is BELOW the 50-day SMA (411.9015)
#GOOGL: 165.49 is BELOW the 50-day SMA (185.4071)
#AMZN: 197.95 is BELOW the 50-day SMA (221.3966)
#NVDA: 121.67 is BELOW the 50-day SMA (129.2858)
#TSLA: 249.98 is BELOW the 50-day SMA (351.6212)
#META: 607.6 is BELOW the 50-day SMA (654.0524)
#BRK.B: 514.6 is ABOVE the 50-day SMA (476.3832)
#LLY: 813.48 is BELOW the 50-day SMA (829.5262)
#JPM: 232.44 is BELOW the 50-day SMA (257.1469)
#V: 331.8 is BELOW the 50-day SMA (336.877)
#UNH: 488.65 is BELOW the 50-day SMA (508.7903)"
"Mon Mar 17 10:52:00 +0000 2025","Donnie is losing Tariff War!🤣

#Trump #ElonMusk #Tesla #SpaceX #Dogecoin $TSLA #DonaldTrump #Alberta #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas #oil #gas #Canada #tariffs"
"Mon Mar 17 10:47:51 +0000 2025","No sign of Drill, Baby, Drill, Donnie!🤣🤣🤣🤣

#Trump #ElonMusk #Tesla #Dogecoin $TSLA #DonaldTrump #Alberta #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oil #gas #Canada #tariffs"
"Mon Mar 17 10:15:22 +0000 2025","Apple ($AAPL) Is still showing lower low sequences from the peak. Another low can be seen toward 207.99-198.05 area to complete the cycle. 👉Join us for a 14-day trial to learn more: https://t.co/ctbaALK3YB #Trading #ElliottWave #Apple #AAPL"
"Mon Mar 17 09:58:00 +0000 2025","🔥 AAPL on the edge! 🔥
$AAPL showing a moderately strong downtrend with a brutal -82% annualized trend return 📉. Will the bounce hold, or is this just a dead cat? 🐱💀

#Stocks #Apple #AAPL #TradingView #NASDAQ #Crypto #CryptoNews #StockMarket https://t.co/6mWmd9ju0u"
"Mon Mar 17 08:57:30 +0000 2025","AAPL, U2, Apple Inc. is set for a rebound as analysts predict a positive outlook driven by strong service sales and new product launches. Despite challenges, brand loyalty and tech sector recovery may attract investor interest. #AAPL #TechStocks"
"Mon Mar 17 07:12:36 +0000 2025","SPOILER: Donnie doesn't care about the #US!🤣🤣

#Trump #ElonMusk #Tesla #Dogecoin $TSLA #DonaldTrump #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas #oil #gas #Canada #tariffs"
"Mon Mar 17 06:55:07 +0000 2025","尽管市场对经济衰退、关税问题和政策不确定性的担忧持续存在，美国银行仍将 $AAPL 视为该领域最具防御性的股票之一。

在过去两次经济衰退中，$AAPL 依然实现了盈利增长，展现出对经济放缓的强大适应力。这主要得益于其商业模式的优化——毛利率显著提升。
#AAPL https://t.co/NnPhTbFkol"
"Mon Mar 17 06:04:35 +0000 2025","#God hates #US Maggot #Conservatives 

#Trump #ElonMusk #Tesla #SpaceX #Dogecoin $TSLA #DonaldTrump #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas #oil #gas #Canada #tariffs"
"Mon Mar 17 05:31:01 +0000 2025","That's because tech is an overvalued piece of 💩! Just like #crypto!

#TrumpEffect #Trump #ElonMusk #Tesla #SpaceX #Dogecoin $TSLA #DonaldTrump #Alberta #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #Canada #tariffs"
"Mon Mar 17 05:29:34 +0000 2025","When US stocks plummeted by almost 4%, with NVDA down by 7% and Apple down by 4%, Bitcoin dropped by almost 15%. Why did this happen?

Read here: https://t.co/69C4P3N9il

#bitcoin #trump #stocks #nvda #aapl #apple #crypto #ripple #gold #stock #btc #nvidia https://t.co/6KfCTFn9A6"
"Mon Mar 17 05:01:26 +0000 2025","@RobertFife is a senile old relic from a forgetten past. Retire &amp; leave the reporting to the more capable. 

#DonaldTrump #Trump #ElonMusk #Tesla #Dogecoin $TSLA #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump #Canada #tariffs https://t.co/T3bcBvpTg4"
"Mon Mar 17 04:43:11 +0000 2025","Nobody cares @RobertFife. The problems are Donnie and #Poilievre!

#Trump #ElonMusk #Tesla #Dogecoin $TSLA #DonaldTrump #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #ongt #oil #gas #Canada #tariffs"
"Mon Mar 17 04:12:51 +0000 2025","What about, #Ukraine?

#Trump #ElonMusk #Tesla #SpaceX #Dogecoin $TSLA #DonaldTrump #Alberta #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas #oil #gas #Canada #tariffs"
"Mon Mar 17 03:55:57 +0000 2025","#Oil industry WILL ignore Donnie, just like #Canada 💯🤣

#Trump #ElonMusk #Tesla #Dogecoin $TSLA #DonaldTrump #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas #gas #tariffs"
"Mon Mar 17 00:27:07 +0000 2025","Is it time to sell #AAPL?  Scott Galloway from @profgpod says yes. what you all think ?   

#AAPL stock shows just 3% growth, yet its P/E ratio sits at 34.

@carbonfinancex https://t.co/f3h4PcWrND"
"Mon Mar 17 00:10:08 +0000 2025","Sell, Sell, Sell!!!!!

#Trump #ElonMusk #Tesla #SpaceX #Dogecoin $TSLA #DonaldTrump #Alberta #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas #oil #gas #Canada #tariffs https://t.co/PtLhxIBC8X"
"Sun Mar 16 23:18:56 +0000 2025","Donnie screws it up, yet again!🤣🤣🤣

#Trump #ElonMusk #Tesla #Dogecoin $TSLA #DonaldTrump #Alberta #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas #oil #gas #Canada #tariffs"
"Sun Mar 16 23:16:47 +0000 2025","Check out my #AAPL analysis on @TradingView: https://t.co/TDBtpXNOag 
looks like a load zone for me."
"Sun Mar 16 23:14:20 +0000 2025","$AAPL #AAPL Monthly support zone something to watch going forward https://t.co/ZgqQyUraaL"
"Sun Mar 16 23:13:42 +0000 2025","Donnie screwed up yet again!🤦🏽‍♂️🤣🤣🤣

#Trump #ElonMusk #Tesla #Dogecoin $TSLA #DonaldTrump #Alberta #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oilandgas #oil #gas #Canada #tariffs"
"Sun Mar 16 21:39:38 +0000 2025","#Bitcoin $BTC futures (CME) Daily Equilibrium Levels

For period starting Sunday March 16 at 6PM EST Globex Open thru Monday March 17  RTH Session

BTC Futures Equilibrium High  84435
BTC Futures Equilibrium Low   83585

$NQ_F $ES_F #SP500 $SPX $SPY #SP500 #ES_F #SPX #SPY #AAPL $AAPL $TSLA #TSLA $META #META $AMZN #AMZN #BTCUSD #Crypto #Cryptonews #daytrader #daytrading #trading #tradingtips #daytrade #trader #financialfreedom #stocks #stockmarket #investing #futures #futurestrading $SPY $QQQ $AAPL $TSLA $META $AMZN $DIA $NFLX $PLTR $NVDA $MSFT $GOOG $AMD"
"Sun Mar 16 21:24:51 +0000 2025","Elliott Wave Insights: Navigating SPX, NDX, AAPL, TSLA, &amp; More

#amzn #googl #aapl #meta #nflx #tsla #msft  #nvda #bitcoin #nasdaq #sp500 #ndx #Elliottwave
https://t.co/VvFdE7vWBs"
"Sun Mar 16 20:51:31 +0000 2025","#Americans will pay MORE now!🤣🤣🤣

#Trump #ElonMusk #Tesla #SpaceX #Dogecoin $TSLA #DonaldTrump #Alberta #ableg #abpoli #cdnpoli #cdnecon $NVDA #GOOG #AAPL #META #MSFT #AMZN #DOGEGOV $BTC $ETH $SOL $Trump $DOGE $XRP #oott #com #NaturalGas #ongt #oil #gas #Canada #tariffs"
